item_proposed	item_desired	date_proposed	date_reviewed	accepted	proposer_rate	counterparty_rate
3	6610	2022-02-03				
15	5335	2022-01-19	2022-02-09	1	3	3
17	2478	2022-01-17	2022-01-31	1	5	4
24	2677	2022-02-22				
25	3932	2022-02-28				
28	5704	2022-01-18	2022-02-28	1		
32	6083	2022-01-20				
33	1345	2022-02-03	2022-02-15	1	3	1
33	4221	2022-01-20	2022-01-25	0		
37	227	2022-01-31	2022-02-28	1		
38	5836	2022-01-27				
41	2121	2022-01-17	2022-02-03	1	5	1
44	3803	2022-01-26				
48	632	2022-01-20				
49	2509	2022-02-17				
49	5920	2022-01-18	2022-02-14	0		
54	187	2022-01-20	2022-02-15	1	2	1
55	6833	2022-02-14				
56	1907	2022-01-26	2022-02-17	0		
56	5028	2022-02-18				
57	5428	2022-01-27				
59	160	2022-01-18	2022-01-21	1	2	5
63	2917	2022-01-19	2022-02-07	0		
63	4073	2022-02-08	2022-02-11	0		
64	3665	2022-02-09	2022-02-24	1	2	3
66	4769	2022-01-25				
67	1665	2022-01-17	2022-01-18	1	5	5
68	398	2022-01-31	2022-02-18	1	1	3
70	1840	2022-01-18	2022-01-19	0		
70	2033	2022-02-25				
72	1971	2022-02-15				
72	4734	2022-02-03	2022-02-11	0		
74	7131	2022-02-02				
75	4290	2022-01-24				
79	5194	2022-02-04				
80	5942	2022-01-25	2022-02-07	1	3	3
82	2751	2022-01-18	2022-01-28	0		
85	6719	2022-01-24	2022-01-27	1	5	4
87	3069	2022-02-11	2022-02-21	1	2	5
89	581	2022-02-03	2022-02-10	0		
90	2442	2022-01-26				
91	4737	2022-01-27	2022-02-24	1	5	4
92	7146	2022-01-19	2022-02-04	0		
95	6999	2022-01-17				
96	5209	2022-02-15				
97	3047	2022-01-21	2022-01-26	1	5	3
101	3595	2022-01-27				
102	3949	2022-02-03				
103	2410	2022-01-17	2022-02-03	1	2	4
104	6169	2022-01-20	2022-02-04	1	4	1
107	5919	2022-01-18	2022-02-17	1	4	5
109	795	2022-02-03	2022-02-24	0		
111	6118	2022-02-08				
112	4717	2022-01-17	2022-02-02	0		
113	4459	2022-02-11				
115	5424	2022-01-19	2022-02-03	0		
116	427	2022-01-24	2022-02-04	1	2	5
118	1669	2022-01-25	2022-01-27	1	1	2
119	1029	2022-01-26	2022-02-04	1	4	3
122	2966	2022-01-17	2022-02-02	1	1	1
123	4574	2022-01-27				
124	4837	2022-01-18	2022-02-22	1	3	2
127	1383	2022-01-18	2022-02-17	1	2	5
128	4925	2022-01-24	2022-02-01	1	4	5
132	1860	2022-01-25				
140	2640	2022-01-20	2022-01-28	1	5	5
141	2391	2022-02-02	2022-02-09	1	5	5
143	2438	2022-01-18	2022-02-01	1	2	1
146	6661	2022-02-23				
147	1576	2022-02-03	2022-02-11	1	1	5
148	1957	2022-01-27				
149	5063	2022-01-28				
151	5023	2022-01-19				
153	3347	2022-01-27				
159	5834	2022-01-18	2022-02-02	1	3	3
165	5605	2022-01-19				
167	1429	2022-02-02				
168	275	2022-01-17	2022-01-21	1	2	4
170	427	2022-01-17	2022-01-24	0		
171	409	2022-01-24	2022-02-09	1	4	1
181	6187	2022-01-26	2022-01-27	1	2	3
184	2803	2022-01-19				
185	2378	2022-01-27				
188	5462	2022-01-28	2022-02-14	1	1	1
190	4125	2022-01-18	2022-01-20	0		
192	5097	2022-01-17	2022-01-25	1	2	3
193	6468	2022-01-20	2022-01-31	1	3	4
194	4978	2022-01-25				
195	2201	2022-01-18	2022-01-25	1	2	2
196	5667	2022-01-20	2022-01-31	1	5	1
199	7141	2022-01-17				
204	6607	2022-01-21	2022-02-22	0		
208	2701	2022-01-18	2022-02-08	1	1	1
